1,Chúng tôi đứng trong kho vào buổi chiều rồi, chỉ cần cởi bộ đồ bảo hộ ra là có thể ghé vào quán "Borzhch" uống vài ly rượu mạnh.
2,Tôi đứng chơi không tựa vào tường, đã làm xong phần việc của mình và đang cầm sẵn điếu thuốc, thèm hút kinh khủng, hai tiếng đồng hồ không hút rồi, thế mà anh ta vẫn mày mò với đồ đạc của mình:
3,đã nhét đầy một cái két khóa lại và niêm phong, giờ đang nhét cái thứ hai, lấy từng cái "pút-xơ-ska" trên băng chuyền, kiểm tra từng cái từ mọi phía (mà nặng lắm đồ quỷ sáu ký rưỡi đấy nhé) rồi cẩn thận nhét vào kệ với tiếng rên rỉ.
4,Không biết anh ta mò mẫm với mấy cái "pút-xơ-ska" này bao lâu rồi, mà theo tôi thì chẳng ích gì cho nhân loại cả. Ở vào vị trí của anh ta tôi đã chán từ lâu và tìm việc khác làm với mức lương tương đương.
5,Dù sao đi nữa nếu nghĩ cho kỹ thì cái "pút-xơ-ska" quả thực là thứ bí ẩn và khó hiểu lạ thường.
6,Tôi đã vác bao nhiêu cái trên lưng rồi vậy mà mỗi lần nhìn thấy lại không khỏi ngạc nhiên.
7,Nó chỉ có hai đĩa đồng to bằng cái đĩa uống trà dày khoảng năm milimét, khoảng cách giữa hai đĩa chừng bốn trăm milimét, và ngoài khoảng cách đó ra thì không có gì cả giữa chúng.
8,Nghĩa là không có gì hết trống không. Có thể thò tay vào có thể thọc cả đầu vào nếu bạn hoàn toàn ngây ngô vì kinh ngạc – trống không thật chỉ có không khí.
9,Thế nhưng tất nhiên giữa chúng vẫn có gì đó một lực nào đó theo cách tôi hiểu vì chưa ai ép được hai đĩa lại gần nhau hay tách chúng ra.
10,Thôi nào các bạn thứ này khó mô tả lắm nếu chưa nhìn tận mắt trông thì đơn giản quá nhất là khi nhìn kỹ và cuối cùng tin vào mắt mình.
11,Cũng như tả cái cốc hay trời ơi cái chén rượu cho ai đó: chỉ cựa ngón tay và văng tục vì hoàn toàn bất lực.
12,Thôi coi như các bạn đã hiểu rồi còn ai chưa hiểu thì lấy tập "Báo cáo" của viện ra đọc – số nào cũng có bài về mấy cái "pút-xơ-ska" kèm ảnh.
13,Nói chung Kirill đã vật lộn với mấy cái "pút-xơ-ska" này gần một năm rồi. Tôi ở cạnh anh từ đầu nhưng đến giờ vẫn không hiểu rõ anh muốn đạt được gì từ chúng mà thật tình mà nói thì cũng chẳng có gì thúc giục tôi tìm hiểu.
14,Để anh tự hiểu tự giải quyết trước đi rồi biết đâu tôi sẽ lắng nghe.
15,Còn hiện tại tôi chỉ rõ một điều: anh phải bằng mọi cách tháo tung một cái "pút-xơ-ska" nào đó ra, tẩm axit, ép bẹp, nung chảy trong lò.
16,Đến lúc đó thì mọi thứ sẽ sáng tỏ với anh danh thơm tiếng tốt sẽ đến và toàn bộ khoa học thế giới sẽ rùng mình vì hạnh phúc. Nhưng cho đến lúc này theo tôi hiểu còn rất xa mới đến được đó.
17,Anh chưa đạt được gì chỉ kiệt sức hoàn toàn trở nên xám xịt trầm lặng mắt cứ như mắt con chó ốm còn rớm lệ nữa.
18,Nếu là người khác ở vị trí anh tôi đã cho uống rượu say bí tỉ dắt đến một cô nàng ngoan để được khuấy động sáng hôm sau lại cho uống và lại dắt đến cô nàng khác và chỉ cần một tuần là anh ta đã như mới tai vểnh lên đuôi dựng thẳng.
19,Nhưng với Kirill thì bài thuốc đó không hợp chẳng đáng đề nghị anh khác giống người.
20,Thế là chúng tôi đứng trong kho tôi nhìn anh nhìn thấy anh trở nên thế nào hố mắt hóp lại thế nào và bỗng thấy thương anh không hiểu sao.
21,Và lúc đó tôi quyết định. Thực ra không phải tự tôi quyết định mà như có ai đó giật lưỡi tôi vậy.
22,Anh nhanh chóng nhét cái "pút-xơ-ska" vào két đóng cửa két lại khóa ba vòng rưỡi và chúng tôi cùng quay về phòng thí nghiệm.
23,Ernst trả bốn trăm đồng tiền mặt cho một cái "pút-xơ-ska" rỗng còn một cái đầy thì tôi sẽ hút cạn máu của hắn nhưng dù tin hay không thì tôi đã không nghĩ đến điều đó vì Kirill trước mắt tôi cứ như sống lại trở nên căng như dây đàn rung lên cả người chạy lên cầu thang bỏ bốn bậc một.
24,Nói chung tôi kể hết cho anh nghe: nó trông thế nào nằm ở đâu và cách tiếp cận tốt nhất là thế nào.
25,Anh lập tức lấy bản đồ ra tìm cái nhà để xe đó ấn ngón tay vào đó và nhìn tôi và rõ ràng hiểu ngay mọi thứ về tôi mà có gì ở đây không hiểu được đâu!
26,Sao mà không thấy hơn! Dĩ nhiên là anh rộng lượng cố gắng vì tôi: người thứ ba là thừa chạy đi hai người là xong không ai biết về anh đâu.
27,Nhưng tôi biết người của viện không đi vào Vùng hai người. Có nguyên tắc của họ: hai người làm việc người thứ ba quan sát và khi được hỏi sau đó sẽ kể lại.
28,Ostyn là người không tệ lòng dũng cảm và sự hèn nhát ở anh đúng tỷ lệ nhưng theo tôi anh đã bị đánh dấu rồi. Kirill không giải thích được điều đó nhưng tôi thấy rõ: người ta tự nghĩ mình hiểu và nắm hết Vùng rồi nghĩa là sắp toi. Và được thôi. Nhưng không có tôi.
29,Nói chung anh ngồi lại bên bản đồ còn tôi thì phi thẳng vào quán "Borzhch" vì đói chịu không nổi nữa và cổ họng khô khốc.
30,Được rồi. Sáng hôm sau tôi đến như mọi hôm đúng chín giờ xuất trình thẻ và ở cổng là tên trung sĩ cao kều mà năm ngoái tôi đã cho một trận vì hắn say rượu mà cứ nhào vào Guta.
31,Tự nghĩ: cái trò gì đây? Tại sao đại úy Herzog lại cần tôi trong giờ làm việc? Thôi đi mà trình diện. Phòng của ông ở tầng ba phòng tốt lắm và cửa sổ có song sắt như ở đồn cảnh sát.
32,Willy ngồi sau bàn phì phèo tẩu thuốc và gõ chậm chạp vào máy chữ còn ở góc phòng thì có một tên trung sĩ mới nào đó đang lục lọc tủ sắt không quen.
33,Ở viện chúng tôi có nhiều trung sĩ hơn cả sư đoàn toàn người béo mập hồng hào khỏe mạnh – không cần đi vào Vùng và chuyện thế giới là quan trọng gì với họ.
34,Tôi vào phòng thay đồ mặc bộ đồ bảo hộ hút thuốc và cứ nghĩ mãi: tiếng đồn từ đâu ra thế này? Nếu từ trong viện thì đó là dối trá hết không ai ở đây biết gì về tôi và không thể biết.
35,Còn nếu cảnh sát gửi thư tố cáo... thì họ có thể biết gì ngoài những chuyện cũ của tôi? Có khi Kền Kền bị bắt rồi? Cái thằng vô lại đó để tự bảo vệ sẵn sàng đẩy bất kỳ ai vào hố. Nhưng Kền Kền giờ cũng chẳng biết gì về tôi nữa...
36,Tôi suy nghĩ mãi không nghĩ ra gì hữu ích và quyết định – kệ đi! Lần cuối tôi vào Vùng ban đêm là ba tháng trước hàng hóa hầu hết đã bán rồi và tiền cũng gần hết. Không bắt được quả tang mà giờ thì khó mà túm được tôi tôi trơn lắm.
37,Nhưng khi tôi đã leo lên cầu thang bỗng nhiên một ý nghĩ ập đến mạnh đến mức tôi quay lại phòng thay đồ ngồi xuống và hút thêm điếu thuốc. Hóa ra hôm nay tôi không thể vào Vùng. Ngày mai cũng không ngày kia cũng không.
38,Hóa ra tôi lại bị bọn cảnh sát cóc đó để ý chúng không quên tôi mà nếu quên thì cũng có người nhắc. Và giờ thì không còn quan trọng là ai nữa.
39,Không một tay thợ săn kho báu nào nếu chưa hoàn toàn điên sẽ đến gần Vùng trong tầm súng đại bác khi biết đang bị theo dõi. Tôi cần chui vào xó tối nhất ngay. Vùng à tôi mà chơi như thế à?
40,Tôi ấy à tôi chẳng đến đó dù có giấy phép cả mấy tháng nay rồi! Các anh làm phiền người công nhân thí nghiệm lương thiện làm gì thế?
41,Suy nghĩ hết mọi thứ tôi thậm chí cảm thấy nhẹ nhõm phần nào vì hôm nay không phải vào Vùng. Chỉ là phải báo cho Kirill khéo léo thế nào thôi?
42,Đầu tiên tất nhiên anh trố mắt nhìn tôi. Rồi hình như anh hiểu ra điều gì: nắm lấy khuỷu tay tôi dẫn vào phòng riêng nhỏ của anh bảo tôi ngồi vào bàn của anh còn anh thì ngồi lên bệ cửa sổ.
43,Anh mềm lòng. Lại có vẻ khổ sở mắt lại trở thành như mắt con chó xù ốm. Anh hít thở co giật châm điếu thuốc mới từ tàn điếu cũ và khẽ nói.
44,Anh nhìn tôi theo cách kỳ lạ nào đó nhảy xuống khỏi bệ cửa sổ và bắt đầu đi đi lại lại trong căn phòng nhỏ của mình. Anh chạy quanh phòng còn tôi ngồi phả khói và im lặng. Thương anh lắm tất nhiên và buồn vì mọi thứ xảy ra ngốc nghếch thế: chữa bệnh cho người ta gọi là chữa khỏi chứng sầu não.
45,Lỗi của ai? Lỗi của chính tôi. Dỗ đứa bé bằng kẹo mà kẹo thì cất trong ngăn bí mật còn ngăn bí mật lại có mấy chú hung tợn canh giữ... Lúc đó anh ngừng đi lại dừng lại gần tôi và nhìn đi đâu đó sang một bên hỏi lúng túng.
46,Lúc đầu tôi không hiểu anh nghĩ anh tính mua nó ở đâu đó mà mua ở đâu được một thứ như vậy có khi nó là vật duy nhất trên đời mà anh cũng không có đủ tiền cho việc đó: lấy đâu ra tiền – chuyên gia nước ngoài mà lại còn là người Nga?
47,Rồi bỗng như bị bỏng: anh ta đồ bẩn thỉu nghĩ gì – tôi vì mấy tờ xanh mà làm trò này sao? Ô hay tôi nghĩ đồ khốn mày tưởng tao là ai?.. Tôi đã mở miệng định chửi vào đầu vào tim vào gan anh ta. Rồi lại thôi.
48,Vì thực ra thì ai mà không coi tôi như thế? Thợ săn kho báu thì vẫn là thợ săn kho báu kiếm tiền xanh là chính vì tiền xanh mà buôn bán mạng sống. Thế thì hóa ra hôm qua tôi thả mồi câu còn hôm nay lại kéo mồi ra giá.
49,Những ý nghĩ đó làm tôi đến câm lưỡi còn anh nhìn tôi chằm chằm không rời mắt và trong mắt anh tôi không thấy khinh thường mà là sự thấu hiểu. Và lúc đó tôi bình tĩnh giải thích cho anh.
50,Anh ngẩng đầu khỏi bản đồ và nhìn chằm vào cửa sổ. Tôi cũng nhìn vào cửa sổ. Kính cửa sổ của chúng tôi dày chì nặng và sau kính là Vùng hiền mẫu đây rồi tay với tới nhìn thẳng rõ ràng từ tầng mười ba...
51,Tôi đang đến gần nơi tôi phải đến. Xung quanh tôi áp sát vào mặt đường rừng xanh mướt trải dài thỉnh thoảng nhường chỗ cho những bãi cỏ đầy cói vàng. Mặt trời đã lặn từng giờ cứ không chịu lặn hẳn và lơ lửng thấp trên đường chân trời.
52,Xe lăn trên con đường hẹp trải đá dăm giòn. Những hòn đá to tôi để gầm bánh xe cán qua và mỗi lần trong khoang hành lý lại loảng xoảng và ầm ầm tiếng những can rỗng.
53,Từ bên phải trong rừng bước ra hai người bước lên lề đường và dừng lại nhìn về phía tôi. Một người giơ tay. Tôi nhả ga đang quan sát họ.
54,Theo tôi thấy thì đó là những người đi săn những thanh niên có lẽ hơi lớn tuổi hơn tôi một chút. Gương mặt họ làm tôi ưa ngay và tôi dừng xe. Người giơ tay thò mặt ngăm đen mũi khoằm vào xe và hỏi nở nụ cười.
55,Mọi thứ diễn ra như thường lệ. Xe chạy tiếp. Người mũi khoằm quay ra sau và huyên thuyên nói rằng ngồi xe con thì thích hơn đi bộ nhiều. Người có râu ậm ừ tán đồng và cứ đóng mở cửa xe mãi.
56,Phía trước tôi thấy một đống đá lớn đạp phanh và nói: Nắm chặt vào. Xe rung lắc và nhảy lên. Người mũi khoằm bị va mũi vào nòng súng. Động cơ gầm rú đá va vào gầm xe.
57,Chúng tôi vào thành phố. Những hàng rào cổ kính chắc chắn kéo dài những khung nhà gỗ to từ những thân cây khổng lồ đã đen lại với cửa sổ không rộng lắm khung cửa chạm trổ gà gỗ trên mái. Xuất hiện vài tòa nhà gạch bẩn với cửa sắt trông cách mà tôi còn nhớ mang máng từ "kho chứa hàng".
58,Tôi bật đèn tín hiệu đạp phanh và rẽ phải. Đường ở đây mọc đầy cỏ nhưng trước một cổng ngõ nào đó có một chiếc Zaporozhets mới tinh đậu ở đó. Số nhà treo trên cổng chữ số hầu như không nhìn thấy trên tấm biển sét gỉ. Ngõ có cái tên thanh tao: Lukomorye.
59,Ngõ không rộng và bị kẹp giữa những hàng rào cổ xưa nặng nề dựng lên từ thời còn có cướp biển Thụy Điển và Na Uy đây đó.
60,Người mũi khoằm bước ra khỏi xe và khom người chui qua cánh cổng thấp. Sau bức tường xám cao ngất không nhìn thấy nhà. Cổng lớn thật hoành tráng như ở xưởng đầu máy xe lửa trên bản lề sắt gỉ nặng cả pood.
61,Tôi đọc những tấm biển đầy ngạc nhiên. Có ba tấm. Trên cánh cổng bên trái một tấm biển màu xanh trang trọng với chữ bạc óng ánh qua kính dày. NIIЧAВО - Nhà trên chân gà. Di tích cổ Solovetsk.
62,Tôi bước ra khỏi xe và bắt đầu lau kính chắn gió. Phía trên đầu tôi bỗng có tiếng sột soạt. Tôi ngước nhìn. Trên cổng một con mèo khổng lồ – tôi chưa thấy con nào to thế – màu xám đen loang lổ đang sắp xếp chỗ ngồi cho thoải mái.
63,Ngồi xuống rồi nó nhìn tôi bằng đôi mắt vàng no nê và thản nhiên. Meo meo tôi nói tự động. Con mèo lịch sự và lạnh lùng há cái miệng đầy răng phát ra một tiếng khàn khàn trong cổ họng rồi quay đi và nhìn vào trong sân.
64,Chốt cửa kêu lên. Con mèo đứng dậy và lặng lẽ nhảy vào sân. Cánh cổng nặng nề đung đưa tiếng kẽo kẹt và rặc rặc vang lên và cánh cổng trái từ từ mở ra. Khuôn mặt đỏ ửng vì gắng sức của người mũi khoằm hiện ra.
65,Tôi quay vào xe và từ từ lái vào sân. Sân rộng lớn sâu trong sân là ngôi nhà bằng gỗ to còn trước nhà là một cây sồi thấp và rộng lớn dày đặc và tán rộng che phủ mái nhà.
66,Từ cổng đến nhà vòng quanh cây sồi có một con đường lát đá phiến. Bên phải con đường là vườn rau còn bên trái giữa bãi cỏ sừng sững cái khung gỗ của giếng cổ đen kịt và rêu phủ.
